                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6773,                 3.5095,                 1.9598,                0.23725,                0.06857,                0.02692,                0.00995,                 1.8254,                 3.7346,                 1.8982,             0.00036802,             0.00036802,             0.00036802
                      2,                 1.6713,                 2.9382,                 1.9754,                0.05118,                0.29052,                0.03162,                0.01301,                 2.0527,                  3.578,                 2.0517,             0.00066526,             0.00066526,             0.00066526
                      3,                 1.6712,                 2.6115,                 1.9595,                 0.4231,                0.26857,                0.03578,                0.01054,                 2.0988,                 3.7347,                 2.2408,             0.00088917,             0.00088917,             0.00088917
                      4,                 1.6044,                 2.3558,                 1.8949,                0.44939,                   0.24,                0.06991,                0.03465,                 2.0261,                 3.7724,                  2.039,             0.00078103,             0.00078103,             0.00078103
                      5,                 1.5161,                 2.1588,                 1.8262,                0.08289,                0.11494,                0.07683,                0.02253,                 1.8676,                 3.2342,                 1.9556,             0.00067104,             0.00067104,             0.00067104
                      6,                 1.4316,                 1.9777,                 1.7497,                0.06703,                0.08229,                0.04817,                0.02144,                 1.8932,                 3.4561,                 1.9447,             0.00056105,             0.00056105,             0.00056105
                      7,                 1.3484,                 1.8684,                 1.6681,                 0.1166,                0.33597,                0.12494,                0.04789,                 1.7515,                 3.0268,                 1.9109,             0.00045107,             0.00045107,             0.00045107
                      8,                 1.2743,                 1.7189,                 1.6093,                 0.1128,                 0.1687,                 0.0873,                 0.0369,                 1.7639,                   2.89,                 1.8453,             0.00034108,             0.00034108,             0.00034108
                      9,                 1.2056,                 1.6109,                 1.5508,                0.21107,                0.35653,                 0.1617,                0.07977,                 1.7544,                 2.8384,                 1.9165,             0.00023109,             0.00023109,             0.00023109
                     10,                 1.1509,                 1.5043,                 1.5084,                0.16964,                0.36264,                0.17779,                0.08285,                 1.7019,                  2.732,                  1.855,              0.0001211,              0.0001211,              0.0001211
